;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
510;57;J.B. (Joost) Helms;M;2504948;953;VVD;41;36;51;24;57;43;24;0.0;51
511;58;J.H. (Jock) Geselschap;M;2504948;790;VVD;41;36;51;24;57;43;24;0.0;51
512;59;J. (Jeltje) Hoekstra-Sikkema;V;2504948;631;VVD;41;36;51;24;57;43;24;0.0;51
513;60;C. (Christianne) van der Wal-Zeggelink;V;2504948;548;VVD;41;36;51;24;57;43;24;0.0;51
514;61;B.J.A. (Bernd) Roks;M;2504948;339;VVD;41;36;51;24;57;43;24;0.0;51
515;62;B.M.G. (Bart) Smals;M;2504948;591;VVD;41;36;51;24;57;43;24;0.0;51
516;63;J.M. (Joost) van Keulen;M;2504948;296;VVD;41;36;51;24;57;43;24;0.0;51
517;64;E. (Erik) Struijlaart;M;2504948;353;VVD;41;36;51;24;57;43;24;0.0;51
518;65;S.S.E. (Sjoerd) Osinga;M;2504948;169;VVD;41;36;51;24;57;43;24;0.0;51
519;66;M.A.J. (Mark) Snoeren;M;2504948;519;VVD;41;36;51;24;57;43;24;0.0;51
520;67;H.J.P.E. (Hubert) Koevoets;M;2504948;337;VVD;41;36;51;24;57;43;24;0.0;51
521;68;D.A.N. (Daniel) Koerhuis;M;2504948;118;VVD;41;36;51;24;57;43;24;0.0;51
522;69;J. (Jasper) Mos;M;2504948;315;VVD;41;36;51;24;57;43;24;0.0;51
523;70;T. (Tatjana) Šormaz;V;2504948;547;VVD;41;36;51;24;57;43;24;0.0;51
524;71;B.M.H. (Baerte) de Brey;M;2504948;254;VVD;41;36;51;24;57;43;24;0.0;51
525;72;A. (Asraa) Abdullatif;V;2504948;704;VVD;41;36;51;24;57;43;24;0.0;51
526;73;T.K. (Tine) Schaafsma-Buijs;V;2504948;792;VVD;41;36;51;24;57;43;24;0.0;51
527;74;R.G.J. (Roel) Lauwerier;M;2504948;508;VVD;41;36;51;24;57;43;24;0.0;51
528;75;E.J. (Erik) Koppe;M;2504948;2697;VVD;41;36;51;24;57;43;24;0.0;51
