;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
75;42;D.W. (Dirk) van der Mast;M;801620;136;CDA;13;12;39;17;60;40;12;0.0;39
76;43;J.C. (Chantal) van Steenderen-Broekhuis;V;801620;228;CDA;13;12;39;17;60;40;12;0.0;39
77;44;J.L.J. (John) van Hal;M;801620;426;CDA;13;12;39;17;60;40;12;0.0;39
78;45;M.S. (Margriet) van de Vooren;V;801620;163;CDA;13;12;39;17;60;40;12;0.0;39
79;47;J.M. (Hans) Moerland;M;801620;129;CDA;13;12;39;17;60;40;12;0.0;39
80;48;G.M. (Geeske) Telgen-Swarts;V;801620;326;CDA;13;12;39;17;60;40;12;0.0;39
81;49;J.S. (Mitra) Rambaran;V;801620;442;CDA;13;12;39;17;60;40;12;0.0;39
82;50;J.D. (Jan) Kramer;M;801620;404;CDA;13;12;39;17;60;40;12;0.0;39
83;51;J.M.A. (Jeffrey) van Agtmaal;M;801620;820;CDA;13;12;39;17;60;40;12;0.0;39
84;52;A.P. (Fons) d' Haens;M;801620;1246;CDA;13;12;39;17;60;40;12;0.0;39
85;53;R. (Remko) ten Barge;M;801620;2918;CDA;13;12;39;17;60;40;12;0.0;39
86;54;J. (Jan-Jaap) de Haan;M;801620;177;CDA;13;12;39;17;60;40;12;0.0;39
87;55;G. (Gert) Boeve;M;801620;105;CDA;13;12;39;17;60;40;12;0.0;39
88;56;E. (Erik) de Ridder;M;801620;205;CDA;13;12;39;17;60;40;12;0.0;39
89;57;H.M. (Hugo) de Jonge;M;801620;545;CDA;13;12;39;17;60;40;12;0.0;39
90;1;A. (Arie) Slob;M;294586;229664;ChristenUnie;5;5;36;14;37;63;5;1.0;36
91;2;J.S. (Joël) Voordewind;M;294586;13877;ChristenUnie;5;5;36;14;37;63;5;1.0;36
92;3;C.J. (Carola) Schouten;V;294586;16507;ChristenUnie;5;5;36;14;37;63;5;1.0;36
93;4;G.M. (Gert-Jan) Segers;M;294586;2992;ChristenUnie;5;5;36;14;37;63;5;1.0;36
94;5;R.K. (Carla) Dik-Faber;V;294586;2604;ChristenUnie;5;5;36;14;37;63;5;1.0;36
95;6;E.E.W. (Eppo) Bruins;M;294586;1152;ChristenUnie;5;5;36;14;37;63;5;0.0;36
