;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;# stemmen partij peiling;man-vrouw stemmen percentage peiling
74;41;J.D.W. (Jan) Eerbeek;M;741084;369;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
75;42;D.W. (Dirk) van der Mast;M;741084;136;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
76;43;J.C. (Chantal) van Steenderen-Broekhuis;V;741084;228;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
77;44;J.L.J. (John) van Hal;M;741084;426;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
78;45;M.S. (Margriet) van de Vooren;V;741084;163;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
79;47;J.M. (Hans) Moerland;M;741084;129;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
80;48;G.M. (Geeske) Telgen-Swarts;V;741084;326;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
81;49;J.S. (Mitra) Rambaran;V;741084;442;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
82;50;J.D. (Jan) Kramer;M;741084;404;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
83;51;J.M.A. (Jeffrey) van Agtmaal;M;741084;820;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
84;52;A.P. (Fons) d' Haens;M;741084;1246;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
85;53;R. (Remko) ten Barge;M;741084;2918;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
86;54;J. (Jan-Jaap) de Haan;M;741084;177;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
87;55;G. (Gert) Boeve;M;741084;105;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
88;56;E. (Erik) de Ridder;M;741084;205;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
89;57;H.M. (Hugo) de Jonge;M;741084;545;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
